idRegister,idUser,startInsertTime,endInsertTime,timePublication,transactionHash,blockHash,blockNumber,gasUsedTransaction,gasUsedBlock,size,bytes_media,timestamp,numberTransactions
1532,3175,"April 5th 2021, 9:12:19.603","April 5th 2021, 9:12:17.000",-2603,0x1c9f5bb2438bb9c84dca696667d3d3e1d213c4eabfa0c3522410d247bf32086a,0x80d3491deab5d5bbf05efbe365c6d6327972484f6a9be4a002388f45ed97d1da,22,827693,827693,1000,1376,1617667937,1
2684,3437,"April 5th 2021, 9:12:23.264","April 5th 2021, 9:12:19.000",-4264,0x9c3deb69e072eb14f7d6b06bbb75691c7b25f9f9be21ff25e84f7651cff9b12b,0x288739bb0fa038541740f9162694710a8ad9b94172a3645c3f23c12088ce167e,23,1095028,1095028,1000,1701,1617667939,1
2052,3812,"April 5th 2021, 9:12:26.678","April 5th 2021, 9:12:23.000",-3678,0x9118d5e190887eb3b533f7fabd474a0a800cfbfc1468322ab80a8235321c0ed1,0x9d4dd81c7c9008555790009d0a9bf8c0955b395a1042e3d6f6571ff7e489e763,24,1198281,1198281,1000,1476,1617667943,1
2860,4566,"April 5th 2021, 9:12:29.568","April 5th 2021, 9:12:26.000",-3568,0x42f528c99a9decb75a730bcad05ff89a03cb314f5ef1946e7a3827bd2a585701,0x08314750efab4914b94842fb7a2409c85c62c5d385616902f80e514a4d1cd0bc,25,951222,951222,1000,1499,1617667946,1
2880,4490,"April 5th 2021, 9:12:33.146","April 5th 2021, 9:12:29.000",-4146,0x14fb048d39c370dc35524ac765df54c618b084db8d596fec90795b9f31636b66,0x456c7267f22721f91d92491bc0e1ca4856edd56e1513b2524004cff9f15b7987,26,1177369,1177369,1000,1941,1617667949,1
1990,5333,"April 5th 2021, 9:12:35.770","April 5th 2021, 9:12:33.000",-2770,0x5d35d6e257b4ac13f490e1b78539c3475810f0111ef95ae8ef93164427c4ebf4,0x0c785e148382776b8fe1e209ff8cc708e7dad95a86d02f850373e4a798630aad,27,1033239,1033239,1000,1807,1617667953,1
1685,5824,"April 5th 2021, 9:12:38.763","April 5th 2021, 9:12:35.000",-3763,0x3c2b7b55d6da5b8e3f1b27bcee0d2130b0cc43763a371b6049a0eb6aec07cc84,0x01ae2d02d0bac45698da83ec9d72c65b9f5d3b74543a7e04e30027786f0a8812,28,1033515,1033515,1000,1150,1617667955,1
1934,4184,"April 5th 2021, 9:12:42.272","April 5th 2021, 9:12:38.000",-4272,0xac3e2d90a1c0e2d5a4c0c845b2f6b1b1546501b0a11fb5e31b36c6b2d2788009,0x97a47d77cc1c5af4e222e5d4716d6c986b9220e9ec3a4655c38cec7791101a64,29,1321678,1321678,1000,1150,1617667958,1
2513,3433,"April 5th 2021, 9:12:42.272","April 5th 2021, 9:12:42.000",-272,0x2a643f8b153da884007bd27f4a6dbc4f2d06ae589f56292713f4094c3991b877,0xc51b33b8335bbeb3c1e3e1beaf0de53def4ecc53908f5d6e2a4a9c788d443def,30,1239253,1239253,1000,1150,1617667962,1
1914,4146,"April 5th 2021, 9:12:42.272","April 5th 2021, 9:12:46.000",3728,0xb2555b31a14f432a7a3da80e9a5e7cb07a1eb35d9e49b6eb397de6671afa9e52,0x57db49992a0374b15dd55ccca9a8bce669b10df8f6ce4e6e8ab3340817d40a47,31,807081,807081,1000,1150,1617667966,1
