idRegister,idUser,startInsertTime,endInsertTime,timePublication,transactionHash,blockHash,blockNumber,gasUsedTransaction,gasUsedBlock,size,bytes_media,timestamp,numberTransactions
2073,3821,"March 24th 2021, 11:06:47.265","March 24th 2021, 11:06:37.000",-10265,0x394a61a0ffb708492afaa5eae98caab005f5e293013ad11faa03070ec29c9473,0xc825e07bdac592a4f111d369568451a0752052ecc1f15d3008445e899807363f,233,2659937,2659937,1000,6719,1616637997,1
1849,3056,"March 24th 2021, 11:06:56.259","March 24th 2021, 11:06:47.000",-9259,0x80d8a594f7cb01f644733946a72eca91a2242b45c11bc66082a5c2d0d6c0e700,0x669481c4e5fecf543e93b960cd2c65202b0756d5a3b4b7c7f478bd240a410b82,234,2742075,2742075,1000,6435,1616638007,1
2132,4626,"March 24th 2021, 11:07:08.013","March 24th 2021, 11:06:56.000",-12013,0xbebd4cda3e1d6d453dc11c66a3ee4087d030049e848b5c681d85afab064d9e89,0x85a660267cbb96b3c202054949a43941f9457edc3017451a5b69121105716d83,235,3195156,3195156,1000,6207,1616638016,1
2900,3736,"March 24th 2021, 11:07:23.583","March 24th 2021, 11:07:08.000",-15583,0x51236d3bf0ec9b8f3e7c7e6e7124602feb948762cc557b5550751aefe7ed65d4,0xf5978eb57539444f3bb7d686a4b2cc2b58585e1f36a2ba98026a97dc8cb5290c,236,4389495,4389495,1000,4197,1616638028,1
1832,4603,"March 24th 2021, 11:07:38.067","March 24th 2021, 11:07:23.000",-15067,0x0205b6a1c963c0f5efd6322ba53a66cc11a1b0ffaedfe444557f67cd64b8c141,0xb0184458c247c70adde21352c0fdc45a38deaa50df24a264908674b27e7c8b8e,237,4224448,4224448,1000,4450,1616638043,1
2477,5880,"March 24th 2021, 11:07:51.463","March 24th 2021, 11:07:38.000",-13463,0x5ac71aecc3cec63d866f6c8ec02571afa4f57a366663ff3e2c0fa876d228f892,0xf26d1cca0c2b900671e238bdc85ce1ef8dbe285abbc8ba1e1b27d466145bc18d,238,4060074,4060074,1000,5024,1616638058,1
2112,3104,"March 24th 2021, 11:08:00.706","March 24th 2021, 11:07:51.000",-9706,0x695b9a86d312c2fd49211fd3762813fd488c06e759bed35b3d32d792d9a85ff5,0xf669c4a6b1d8616bab47f798610f59e002c48c2ef829a46aca4cce41b0b97fc5,239,2783264,2783264,1000,5279,1616638071,1
1562,3367,"March 24th 2021, 11:08:11.046","March 24th 2021, 11:08:00.000",-11046,0x8c0b478928edbb3b96ffb4be1902ae4a65bd765872ad79602d0fe14c1e64d64c,0x5525989d4be72cb4adc82489215b5246917153786ccd3e87c278601a8804efdf,240,2947936,2947936,1000,5279,1616638080,1
1752,5692,"March 24th 2021, 11:08:11.046","March 24th 2021, 11:08:11.000",-46,0x1936de3756c697855844fa91c8e84573da6c516eeb65e106602270d8459ffa0e,0x5c3c111339cb9d639ae63996bb2616a79ca59372b15ad2b14128181350890906,241,3298303,3298303,1000,5279,1616638091,1
1267,3069,"March 24th 2021, 11:08:11.046","March 24th 2021, 11:08:22.000",10954,0xdda9d9cf3ef2df0f340e984af964fdd6d9e83d4179952b37fe942cddaaf363af,0x96f214da69bd9013d124eabff9fee7b1ce2c290b5d5175767db081341fa66fef,242,3463000,3463000,1000,5279,1616638102,1
