idRegister,idUser,responseTime
2821,4741,446
1997,3298,376
2518,4110,338
2394,4885,334
1348,4782,319
1943,5997,273
2176,3945,207
2428,4898,240
1385,4061,342
1119,4233,199
1543,5442,210
1213,3430,219
2659,5023,265
2497,3360,233
1390,3547,200
2575,4653,246
2055,4153,223
1818,5603,254
1201,5346,209
1802,5525,210
1967,4387,295
2320,5961,259
2885,5518,304
1823,3662,308
1183,4894,218
1463,5045,270
2358,3127,234
1767,3461,212
2771,3687,349
2837,5488,279
2553,3369,260
1286,5209,270
2802,3579,224
1312,4666,212
2275,3631,257
1832,5150,333
2725,3699,296
1350,3600,212
1408,5870,256
1350,5948,230
1994,5961,254
2982,3235,307
1263,3285,232
1720,3009,243
1562,3764,271
1885,3977,253
1886,5243,228
1008,3465,277
1477,5593,305
2931,3153,226
