idRegister,idUser,responseTime
1435,3825,359
1466,3243,340
1201,3403,337
1827,3479,396
1801,3628,340
1315,3002,333
1259,3889,432
1827,3446,346
2062,3695,342
1320,3068,348
1655,3567,341
2897,3628,346
2356,3612,345
1681,3410,469
1202,3616,338
2604,3585,338
1597,3287,341
2368,3831,341
1478,3636,342
1027,3917,342
1209,3014,333
2488,3509,336
2928,3796,477
1439,3333,335
2009,3184,345
1492,3345,369
1738,3665,351
2625,3401,334
2006,3148,337
1139,3209,338
2374,3559,347
1308,3345,340
1377,3373,332
1610,3913,337
2287,3087,412
2344,3515,333
1468,3035,339
2452,3934,439
1721,3982,335
1168,3065,338
1647,3168,344
1611,3368,334
2339,3647,533
1930,3810,447
2223,3565,342
2234,3028,333
1229,3343,339
1290,3037,335
1477,3930,334
2994,3588,348
